Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close,Brand,Unnamed: 0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Mapped Canton
"Hinterbergstrasse 6A, 6318 Walchwil, Switzerland",Hinterbergstrasse 6A,6318,Walchwil,Zug,Switzerland,47.0990936,8.5174278,4.4,24.0,Coop Supermarkt Walchwil,ChIJYWbhBMRVhUcRMHi9mC7biyA,,700.0,700.0,700.0,700.0,700.0,730.0,,1900.0,1900.0,1900.0,1900.0,1900.0,1700.0,COOP,198.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Steinbislin 3, 6423 Seewen, Switzerland",Steinbislin 3,6423,Seewen,Schwyz,Switzerland,47.0326829,8.628576500000001,4.2,170.0,Coop Pronto Shop mit Tankstelle Seewen Steinbislin,ChIJsTO4K-BRhUcRYLxaTqGGlyo,530.0,530.0,530.0,530.0,530.0,530.0,530.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,COOP,199.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Nähseydi 6, 6374 Buochs, Switzerland",Nähseydi 6,6374,Buochs,Nidwalden,Switzerland,46.9791833,8.416130299999999,4.3,477.0,Coop Supermarkt Buochs,ChIJjbg8dPn3j0cRbzb8xG-6CGU,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,COOP,200.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Via S. Gottardo 41, 6780 Airolo, Switzerland",Via S. Gottardo 41,6780,Airolo,Ticino,Switzerland,46.5284291,8.6106924,4.2,150.0,Coop Supermercato Airolo,ChIJk8WGLKR1hUcR48ayLz4M-hY,,800.0,800.0,800.0,800.0,800.0,800.0,,1900.0,1900.0,1900.0,1900.0,1900.0,1830.0,COOP,201.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Bahnhofstrasse 156, 6423 Seewen, Switzerland",Bahnhofstrasse 156,6423,Seewen,Schwyz,Switzerland,47.0279307,8.6315393,4.2,190.0,Coop Pronto Shop mit Tankstelle Seewen Bahnhofstrasse,ChIJDc1hKeBRhUcRDZw1Q9s6JYY,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,COOP,202.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Gotthardstrasse 30, 6490 Andermatt, Switzerland",Gotthardstrasse 30,6490,Andermatt,Uri,Switzerland,46.6345109,8.596472200000001,4.2,597.0,Coop Supermarkt Andermatt,ChIJk0Zti41xhUcRTSbk91zuGXo,,730.0,730.0,730.0,730.0,730.0,730.0,,1830.0,1830.0,1830.0,1830.0,1830.0,1800.0,COOP,203.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Molliserstrasse 41, 8754 Netstal, Switzerland",Molliserstrasse 41,8754,Netstal,Glarus,Switzerland,47.0678935,9.058626899999998,4.3,539.0,Coop Supermarkt Netstal Wiggispark,ChIJ94tn8xQthUcRpvpnsCb7T0s,,800.0,800.0,800.0,800.0,800.0,800.0,,2000.0,2000.0,2000.0,2000.0,2000.0,1900.0,COOP,204.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Titliszentrum 5, 6390 Engelberg, Switzerland",Titliszentrum 5,6390,Engelberg,Obwalden,Switzerland,46.820588,8.4047017,4.2,734.0,Coop,ChIJfY7qB3NghUcR3CsHwwrQo2w,900.0,730.0,730.0,730.0,730.0,730.0,730.0,1800.0,2000.0,2000.0,2000.0,2000.0,2000.0,1800.0,COOP,205.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Rue de la Pierre-à-Mazel 10, 2000 Neuchâtel, Switzerland",Rue de la Pierre-à-Mazel 10,2000,Neuchâtel,Neuchâtel,Switzerland,46.9951537,6.9439315,4.3,1038.0,Coop Supermarché Neuchâtel Maladière,ChIJW70_XSMKjkcRId6rO2fi5ms,,800.0,800.0,800.0,800.0,800.0,800.0,,1900.0,1900.0,1900.0,2000.0,1900.0,1800.0,COOP,206.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Gare de Neuchâtel 3, 2000 Neuchâtel, Switzerland",Gare de Neuchâtel 3,2000,Neuchâtel,Neuchâtel,Switzerland,46.9968215,6.9361694,4.0,97.0,Coop Supermarché Neuchatel Gare,ChIJ12RyrxkKjkcRbeKuL8kYhzc,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,COOP,207.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
