Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton
M-Migros,90324,Rorschach - Promenade,"Promenadenstrasse 83, 9400 Rorschach",,9400,Rorschach,Zürich
MM-Migros,90445,Rorschach - Trischliplatz,"Trischlistrasse 15, 9400 Rorschach",,9400,Rorschach,Zürich
M-Migros,33383,Rothrist,"Neue Aarburgstrasse 20, 4852 Rothrist",,4852,Rothrist,Aargau
M-Migros,73820,Rotkreuz,"Buonaserstrasse 1, 6343 Rotkreuz",,6343,Rotkreuz,Luzern
M-Migros,73710,Ruopigen Zentrum Luzern,"Ruopigenplatz, 6015 Luzern",,6015,Luzern,Aargau
M-Migros,73860,Ruswil,"Rüediswilerstrasse 79, 6017 Ruswil",,6017,Ruswil,Aargau
Migros-Partner,137215,Réchy,"Place Pranniviers 8, 3966 Réchy",,3966,Réchy,Valais
M-Migros,150147,Rümlang Hofwisencenter,"Hofwisenstrasse 40A, 8153 Rümlang",,8153,Rümlang,Zürich
M-Migros,150075,Rüschlikon Parkside,"Zürcherstrasse 4, 8803 Rüschlikon",,8803,Rüschlikon,Zürich
MM-Migros,94230,Rüti ZH,"Bandwiesstrasse 6, 8630 Rüti",,8630,Rüti,Zürich
M-Migros,133750,Saas Fee,"Hôtel du Glacier, 3906 Saas Fee",,3906,Saas,Valais
M-Migros,83790,Saignelégier,"Rue de la Gruère 23, 2350 Saignelégier",,2350,Saignelégier,Jura
M-Migros,63840,Sainte-Croix,"Rue de l'Industrie 21, 1450 Ste-Croix",,1450,Ste,Vaud
MM-Migros,90468,Samedan,"Cho d`Punt 10, 7503 Samedan",,7503,Samedan,Graubünden
MM-Migros,74290,Sarnen - Sarnen-Center,"Nelkenstrasse 5, 6060 Sarnen",,6060,Sarnen,Obwalden
M-Migros,133720,Savièse,"Centre Commercial du Stade, 1965 Savièse",,1965,Savièse,Valais
M-Migros,136475,Saxon,"Rue de Gottefrey 38, 1907 Saxon",,1907,Saxon,Valais
M-Migros,90312,Schaan,"Im Rösle 2, 9494 Schaan",,9494,Schaan,Zürich
M-Migros,93670,Schaffhausen - Breite,"Hohlenbaumstrasse 79, 8200 Schaffhausen",,8200,Schaffhausen,Zürich
M-Migros,93130,Schaffhausen - Buchthalen,"Dürstlingweg 2, 8203 Schaffhausen",,8203,Schaffhausen,Zürich
MMM-Migros,94710,Schaffhausen - Herblinger Markt,"Stüdliackerstrasse 4, 8207 Schaffhausen",,8207,Schaffhausen,Zürich
MM-Migros,94310,Schaffhausen - Vorstadt,"Bahnhofstrasse 56/58, 8200 Schaffhausen",,8200,Schaffhausen,Zürich
M-Migros,150329,Schindellegi,"Pfäffikonerstrasse 19, 8834 Schindellegi",,8834,Schindellegi,Schwyz
M-Migros,150053,Schlieren - Kesslerplatz,"Badenerstrasse 57, 8952 Schlieren",Geschlossen,8952,Schlieren,Zürich
