Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close
"Im Schönengrund 3, 8409 Winterthur, Switzerland",Im Schönengrund 3,8409,Winterthur,Switzerland,47.49897,8.7636,4.1,709,Lidl Schweiz,ChIJUZrDCvCZmkcR4MDewhhl_lM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"In der Au 10, 8400 Winterthur, Switzerland",In der Au 10,8400,Winterthur,Switzerland,47.4861158,8.7043792,4.2,590,Lidl,ChIJ9a-GvxaZmkcRHgEUY8MmRZo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Im Majorenacker 16, 8207 Schaffhausen, Switzerland",Im Majorenacker 16,8207,Schaffhausen,Switzerland,47.71696669999999,8.661578999999998,4.3,369,Lidl Schweiz,ChIJLwGYaDKAmkcRi76SKMCECRQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,1800,,
"Ringstrasse 34, 7000 Chur, Switzerland",Ringstrasse 34,7000,Chur,Switzerland,46.8537336,9.5144803,4.0,484,Lidl,ChIJeTnnPQnHhEcRkhJowPMLcgQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,1800,,
"Wuhrstrasse 22, 7302 Landquart, Switzerland",Wuhrstrasse 22,7302,Landquart,Switzerland,46.96889239999999,9.5695711,4.3,471,Lidl,ChIJC8Pm7ffJhEcRb5LNknkWa18,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,,
"Ital. Str. 25, 7430 Thusis, Switzerland",Ital. Str. 25,7430,Thusis,Switzerland,46.7101897,9.43577,4.2,287,Lidl Schweiz,ChIJN0zdoE3qhEcRW1x2l3Mh5cg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0800,1700,,
"Isla 51, 7151 Schluein, Switzerland",Isla 51,7151,Schluein,Switzerland,46.7786277,9.2217872,4.5,210,Lidl Schweiz,ChIJY7aHCA7ehEcRlyNKFA3OR0w,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,1800,,
"Wolfrietstrasse 8, 7323 Vilters-Wangs, Switzerland",Wolfrietstrasse 8,7323,Vilters-Wangs,Switzerland,47.0383301,9.439252799999998,4.1,263,Lidl Schweiz,ChIJrRinFxXNhEcRPF0PLuGrM6U,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1900,0800,1900,0800,1900,0800,1900,0800,2100,0800,1700,,
"Wiesentalstrasse 98, 7000 Chur, Switzerland",Wiesentalstrasse 98,7000,Chur,Switzerland,46.86239,9.5310425,3.7,32,Lidl Schweiz,ChIJuVdOVanHhEcRJXV2CfcroHM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,1800,,
"Via Grevas 9b, 7500 St. Moritz, Switzerland",Via Grevas 9b,7500,St.,Switzerland,46.48943999999999,9.835469999999999,4.4,51,Lidl,ChIJnybr4Jl9g0cRvb_0wUMZejE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0900,1800
"Zentralstrasse 32, 6030 Ebikon, Switzerland",Zentralstrasse 32,6030,Ebikon,Switzerland,47.08285999999999,8.343340000000001,4.0,43,Lidl Schweiz,ChIJVYQ65NH9j0cR8pBsOULJVTM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,1900,0730,2100,0730,1700,,
"Seetalpl. 1, 6020 Emmen, Switzerland",Seetalpl. 1,6020,Emmen,Switzerland,47.0693723,8.2805217,4.0,484,Lidl Schweiz,ChIJaTA3r1_7j0cRmEy34laxhSk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,1900,0730,2100,0730,1700,,
"Allmendstrasse 3, 6048 Horw, Switzerland",Allmendstrasse 3,6048,Horw,Switzerland,47.01909,8.30736,4.3,25,Lidl,ChIJ9TABwXr7j0cR0x8Xfg_bm4k,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,1900,0730,2100,0730,1700,,
"Dorfstrasse 75, 6035 Perlen, Switzerland",Dorfstrasse 75,6035,Perlen,Switzerland,47.10389,8.349609999999998,4.0,548,Lidl Schweiz,ChIJ1_XgwtP9j0cRG6NCaZG64jw,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,1900,0730,2100,0730,1700,,
"Mühlebachstrasse 2, 6370 Stans, Switzerland",Mühlebachstrasse 2,6370,Stans,Switzerland,46.96793,8.35817,4.2,503,Lidl Schweiz,ChIJ-QxZLRP3j0cREQ0GbaORj3o,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,,
"Zugerstrasse 62, 6403 Küssnacht, Switzerland",Zugerstrasse 62,6403,Küssnacht,Switzerland,47.10627,8.45086,4.2,516,Lidl Schweiz,ChIJL3oGzZr_j0cRFXy8wTYCiwU,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2000,,
"Pilatusstrasse 14b, 6060 Sarnen, Switzerland",Pilatusstrasse 14b,6060,Sarnen,Switzerland,46.90128,8.2483,4.2,232,Lidl Schweiz,ChIJtR97Pp_zj0cR3VS7Fm3IWJ0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,,
"Buchenstrasse 2, 6210 Sursee, Switzerland",Buchenstrasse 2,6210,Sursee,Switzerland,47.17422999999999,8.098613199999999,4.0,446,Lidl,ChIJ3xkCxfcfkEcR7Yk2CYYVxoI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,2100,0730,1900,0730,1700,,
"Bahnhofstrasse 45, 6454 Flüelen, Switzerland",Bahnhofstrasse 45,6454,Flüelen,Switzerland,46.89507999999999,8.623169999999998,4.2,377,Lidl Schweiz,ChIJ69-AkJtEhUcRqT5ZLOGz9DQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Spitalgasse 47/51, 3011 Bern, Switzerland",Spitalgasse 47/51,3011,Bern,Switzerland,46.94748999999999,7.44095,3.5,161,Lidl Schweiz,ChIJX9VYuR85jkcR4ZL8ylAJlPY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,0600,2200,0600,2200,0600,2200,0600,2200,0600,2200,0600,2200,0600,2200
"Schlossstrasse 115b, 3008 Bern, Switzerland",Schlossstrasse 115b,3008,Bern,Switzerland,46.943809,7.411861999999999,4.0,242,Lidl Schweiz,ChIJ9Zd9OdA5jkcRHOfauG6Ht94,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0800,1700,,
"Freiburgstrasse 170, 3008 Bern, Switzerland",Freiburgstrasse 170,3008,Bern,Switzerland,46.9432921,7.404992300000001,3.9,52,Lidl,ChIJ95OPxZo5jkcRUaKn4YG1sho,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0700,2000,0700,2000,0700,2000,0700,2000,0700,2200,0700,1700,,
"Weiermattstrasse 40, 3027 Bern, Switzerland",Weiermattstrasse 40,3027,Bern,Switzerland,46.94838,7.3773,4.2,165,Lidl Schweiz,ChIJaU2i_qs5jkcRr5SCylQu9-c,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0700,2000,0700,2000,0700,2000,0700,2000,0700,2100,0700,1700,,
"Unterer Breitenacker 3, 3122 Kehrsatz, Switzerland",Unterer Breitenacker 3,3122,Kehrsatz,Switzerland,46.9166,7.46625,4.2,425,Lidl Schweiz,ChIJVT4p3-w3jkcR-T5JH89FMKQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2100,0730,1700,,
"Bernstrasse 119, 3072 Ostermundigen, Switzerland",Bernstrasse 119,3072,Ostermundigen,Switzerland,46.95908899999999,7.4965647,4.1,707,Lidl Schweiz,ChIJvQrETzg3jkcRIRf9GtgHRJA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2100,0730,1700,,
"Rte des Rottes 38, 1964 Conthey, Switzerland",Rte des Rottes 38,1964,Conthey,Switzerland,46.22315,7.30442,4.1,808,Lidl,ChIJD7hX-JTcjkcRKFIW0f3GBNA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2100,0730,1700,,
"Rue du Levant 145, 1920 Martigny, Switzerland",Rue du Levant 145,1920,Martigny,Switzerland,46.10268,7.089469999999999,4.2,546,Lidl,ChIJ--q-DbXJjkcR-01zCawJCI8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Z.A. Entre deux Fossaux 2, 1868 Collombey-Muraz, Switzerland",Z.A. Entre deux Fossaux 2,1868,Collombey-Muraz,Switzerland,46.2653261,6.9564113,4.0,705,Lidl,ChIJMyQUyeK8jkcR_rB0sdkXG9Y,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2100,0730,1700,,
"Rte de Sion 81, 3960 Sierre, Switzerland",Rte de Sion 81,3960,Sierre,Switzerland,46.284532,7.516400999999997,4.0,636,Lidl,ChIJ_RHSaZkfj0cRfe_F6oZ5B1w,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2100,0730,1700,,
"Kantonsstrasse 49, 3930 Visp, Switzerland",Kantonsstrasse 49,3930,Visp,Switzerland,46.2935147,7.893735899999999,4.1,464,Lidl Schweiz,ChIJbxtU8whrj0cRYUOz_BE7dXI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Industriestrasse 30, 3900 Brig-Glis, Switzerland",Industriestrasse 30,3900,Brig-Glis,Switzerland,46.30761389999999,7.962297899999999,4.2,351,Lidl Schweiz,ChIJ4fFrkE9pj0cRhPyaqkqSaoY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Rue Centrale 1, 1845 Noville, Switzerland",Rue Centrale 1,1845,Noville,Switzerland,46.38756060000001,6.9214026,4.0,964,Lidl Suisse,ChIJcRZf8yaajkcRJzIS8_TMK8s,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1930,0730,1930,0730,1930,0730,1930,0730,2100,0730,1800,,
"Chem. de la Zima 5, 1860 Aigle, Switzerland",Chem. de la Zima 5,1860,Aigle,Switzerland,46.3189144,6.9620045,4.1,571,Lidl,ChIJd3mv18OXjkcRjhv0wo80ukE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2100,0730,1700,,
"Hauptstrasse 4, 4102 Binningen, Switzerland",Hauptstrasse 4,4102,Binningen,Switzerland,47.5435033,7.574590000000002,4.2,355,Lidl Schweiz,ChIJoXibqGS5kUcRQj4kXvcc6Io,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Muttenzerstrasse 94, 4133 Pratteln, Switzerland",Muttenzerstrasse 94,4133,Pratteln,Switzerland,47.5201682,7.680175000000001,4.0,577,Lidl Schweiz,ChIJO1bEtDu2kUcRfAEmCW0zX4s,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Rebgasse 20, 4058 Basel, Switzerland",Rebgasse 20,4058,Basel,Switzerland,47.56043,7.59448,4.0,268,Lidl Schweiz,ChIJN_eQtS25kUcRoFXE1i9GtRo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0700,2000,0700,2000,0700,2000,0700,2000,0700,2000,0700,1800,,
"Baselstrasse 43b, 4222 Zwingen, Switzerland",Baselstrasse 43b,4222,Zwingen,Switzerland,47.44015,7.539233,3.9,498,Lidl Schweiz,ChIJo_tqAoPGkUcRFamEnPayOBs,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Hauptstrasse 2, 5502 Hunzenschwil, Switzerland",Hauptstrasse 2,5502,Hunzenschwil,Switzerland,47.38707,8.13605,4.0,737,Lidl Schweiz,ChIJMWOg6Oc9kEcRoDj528bFi9k,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Hauptstrasse 135, 4415 Lausen, Switzerland",Hauptstrasse 135,4415,Lausen,Switzerland,47.47032000000001,7.765420000000001,4.1,428,Lidl Schweiz,ChIJS_lQ5OXKkUcR21KK16HK1GM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Neue Winterthurerstrasse 2, 8304 Wallisellen, Switzerland",Neue Winterthurerstrasse 2,8304,Wallisellen,Switzerland,47.41238,8.613660000000001,4.1,738,Lidl,ChIJK6o9b7ChmkcRPkyS4i6sGk0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Fraumünsterstrasse 16, 8001 Zürich, Switzerland",Fraumünsterstrasse 16,8001,Zürich,Switzerland,47.3688262,8.541148500000002,4.3,1160,LIDL Switzerland,ChIJ0REDgqqgmkcRWrTSmPTdg1Q,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,,
"Hauptstrasse 23, 4461 Böckten, Switzerland",Hauptstrasse 23,4461,Böckten,Switzerland,47.4624816,7.8389818,4.4,321,Lidl Schweiz,ChIJGTAPGp42kEcR3N_kmoJr0U8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Lägernstrasse 4, 8154 Oberglatt, Switzerland",Lägernstrasse 4,8154,Oberglatt,Switzerland,47.4753271,8.507048199999998,4.3,604,Lidl,ChIJufgK1e10kEcR27RSRZf_Uv8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2100,0730,2000,,
"Bollistrasse 419, 5072 Oeschgen, Switzerland",Bollistrasse 419,5072,Oeschgen,Switzerland,47.51594000000001,8.014050000000001,4.2,406,Lidl Schweiz,ChIJTxFh1mpHkEcR1I0Li9bYcPw,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Industriestrasse O 5, 4614 Hägendorf, Switzerland",Industriestrasse O 5,4614,Hägendorf,Switzerland,47.3351,7.850770000000001,4.0,392,Lidl Schweiz,ChIJGd1QD_8tkEcR89WoZc5Nneo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,2000,0730,1830,0730,1800,,
"Im Grund 16, 5014 Gretzenbach, Switzerland",Im Grund 16,5014,Gretzenbach,Switzerland,47.359114,7.990887,4.1,464,Lidl Schweiz,ChIJZcR4TfA6kEcRR-vSVNxzXxo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,2000,0730,1830,0730,1800,,
