Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Rue Haldimand 6, 1003 Lausanne, Switzerland",Rue Haldimand 6,1003,Lausanne,Vaud,Switzerland,46.5227495,6.6312986,4.9,120,Institut Zen Attitude,ChIJi09N7jEujEcRKYBX2qeRzGQ,,0800,0800,0800,0800,0800,0900,,2100,2100,2100,2100,2100,1700
"Chem. des Lentillières 13E, 1023 Crissier, Switzerland",Chem. des Lentillières 13E,1023,Crissier,Vaud,Switzerland,46.550377,6.573875000000002,5,9,Baby Palace & Spa,ChIJ0990regxjEcR3hlMHOaBQ24,,0930,0930,0930,0930,0930,0930,,1930,1930,1930,1930,1930,1930
"Chem. du Raffort 1, 1032 Romanel-sur-Lausanne, Switzerland",Chem. du Raffort 1,1032,Romanel-sur-Lausanne,Vaud,Switzerland,46.5676083,6.604884800000001,1,1,37 Degrés SPA pour tous Sàrl,ChIJ1QtjOD0yjEcRgDis4MNenKs,,1000,1000,1000,1000,1000,0900,,1800,1800,1800,1800,1800,1500
"Centre i.Life City / Regus, Rte Suisse 8a, 1163 Etoy, Switzerland",Centre i.Life City / Regus,1163,Etoy,Vaud,Switzerland,46.47377640000001,6.4164085,,,Poséidon Spa Etoy,ChIJp3Wcso9HjEcRHe-EUDlbNF4,,,1000,1000,1000,1000,1000,,,1800,1800,1800,1800,1800
"Rue de Bourg, au 33/1er étage, 1003 Lausanne, Switzerland",Rue de Bourg,1003,Lausanne,Vaud,Switzerland,46.5201839,6.635703799999998,4.5,37,Clarins Boutique & Skin Spa Lausanne,ChIJi5jMdzQujEcRKkVSPRAvl3M,,1000,1000,1000,1000,1000,0900,,1900,1900,1900,1900,1900,1700
"Chem. de la Salette 4, 1023 Crissier, Switzerland",Chem. de la Salette 4,1023,Crissier,Vaud,Switzerland,46.5532639,6.582006300000001,,,Wellness Paradise,ChIJaxQS9HYxjEcRArYIhQvB9KA,,0800,0800,0800,0800,0800,,,1800,1800,1800,1800,1800,
"Rte de Flonzaley 12, 1070 Puidoux, Switzerland",Rte de Flonzaley 12,1070,Puidoux,Vaud,Switzerland,46.4926396,6.763560299999999,,,Whirlpools,ChIJ__8Dq0MojEcR4ThqqA20JTE,,0900,0900,0900,0900,0900,0900,,1700,1700,1700,1700,1700,1700
"Chem. du Marais 4, 1670 Ursy, Switzerland",Chem. du Marais 4,1670,Ursy,Vaud,Switzerland,46.6280696,6.842828899999999,4.4,20,"Dspas.ch - Spas avec pompe à chaleur, saunas, hammams",ChIJEwI9JPB_jkcRDFkSFrCv_7c,,1330,1330,1330,1330,0800,,,1700,1700,1700,1700,1130,
"Place de la Gare 1, 1009 Pully, Switzerland",Place de la Gare 1,1009,Pully,Vaud,Switzerland,46.5107192,6.6597523,4.7,69,The Charm of the Orient,ChIJTzAEKqovjEcRALixBG4whAM,1030,0930,0930,0930,0930,0930,0930,1900,2000,2000,2000,2000,2000,2000
"Rte de Champ-Colin 2C, 1260 Nyon, Switzerland",Rte de Champ-Colin 2C,1260,Nyon,Vaud,Switzerland,46.3838201,6.2185055,4.2,64,Astro Pools S.A.,ChIJ_8QRvh1wjEcRFVPsLR7NmWE,,0900,0900,0900,0900,0900,0900,,1800,1800,1800,1800,1800,1700
"Hochstrasse 122, 8200 Schaffhausen, Switzerland",Hochstrasse 122,8200,Schaffhausen,Schaffhausen,Switzerland,47.7072909,8.6376955,4.2,68,SPAR express Schaffhausen-Hochstr.,ChIJTQcznXx_kEcRWa0Tc63_a1Y,0700,0600,0600,0600,0600,0600,0600,2200,2200,2200,2200,2200,2300,2300
"Zur Stahlgiesserei 14a, 8200 Schaffhausen, Switzerland",Zur Stahlgiesserei 14a,8200,Schaffhausen,Schaffhausen,Switzerland,47.7052584,8.6308702,3.3,33,SPAR Supermarkt SH Stahlgiesserei,ChIJ9fLjFKB_kEcRErgaGZg6tB0,,0630,0630,0630,0630,0630,0630,,2000,2000,2000,2000,2000,1900
"Schaffhauserstrasse 239, 8057 Zürich, Switzerland",Schaffhauserstrasse 239,8057,Zürich,Zürich,Switzerland,47.4032176,8.5469741,4.1,145,SPAR Oerlikon Corrado Imbimbo's Frischmärkte,ChIJV2kfW34KkEcRxMBrKw77TPs,,0700,0700,0700,0700,0700,0700,,2100,2100,2100,2100,2100,2100
"Regensbergstrasse 300, 8050 Zürich, Switzerland",Regensbergstrasse 300,8050,Zürich,Zürich,Switzerland,47.4115648,8.5279289,3.9,165,SPAR,ChIJSdpvmPQKkEcRVBkh0ZlVz2U,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2000
