Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Rte de Frontenex 51, 1207 Genève, Switzerland",Rte de Frontenex 51,1207,Genève,Vaud,Switzerland,46.2025008,6.164277099999999,3.9,218,Denner Express,ChIJieV76klljEcRYIWpFjYW9GU,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue des Charmilles 18, 1203 Genève, Switzerland",Rue des Charmilles 18,1203,Genève,Vaud,Switzerland,46.2067317,6.1301152,4.4,176,Denner Express,ChIJOxCK389kjEcRakJzC_YH3JA,,,,,,,,,,,,,,
"Rue de Carouge 64 Centre commercial Plainpalais, 1205 Genf, Switzerland",Rue de Carouge 64 Centre commercial Plainpalais,1205,Genf,Vaud,Switzerland,46.1929824,6.1426566,4.2,146,Denner Discount,ChIJXdI7A9R6jEcRQ_aL9kjAsqw,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1800
"Promenade de l`Europe 11, 1203 Genève, Switzerland",Promenade de l`Europe 11,1203,Genève,Vaud,Switzerland,46.2079628,6.1229437,4.1,63,Denner Discount,ChIJ-xFop8hkjEcRRIL4UzrGRk0,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1930,1930,1800
"Chem. Bizot 4, 1208 Genève, Switzerland",Chem. Bizot 4,1208,Genève,Vaud,Switzerland,46.1938249,6.165917199999999,4.1,254,Denner Express,ChIJqTwliLR6jEcR4X0CAsB8uuQ,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue Lamartine 12, 1203 Genève, Switzerland",Rue Lamartine 12,1203,Genève,Vaud,Switzerland,46.2099761,6.1289568,4.2,120,Denner Discount,ChIJ0TL7BMVkjEcRzdJ1BhdNczc,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue de la Servette 59, 1202 Genève, Switzerland",Rue de la Servette 59,1202,Genève,Vaud,Switzerland,46.2115291,6.133704100000001,4.5,44,Denner Express,ChIJAxxAugBljEcR-XWZHQmAYV8,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue du Vicaire-Savoyard 2, 1203 Genève, Switzerland",Rue du Vicaire-Savoyard 2,1203,Genève,Vaud,Switzerland,46.20462799999999,6.123186999999999,4.1,139,Denner Discount,ChIJ6aVYQMlkjEcRa2uIs-4AhCE,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Av. de la Praille 15, 1227 Carouge, Switzerland",Av. de la Praille 15,1227,Carouge,Vaud,Switzerland,46.18678999999999,6.138384999999999,4.0,341,Denner Discount,ChIJf4esbth6jEcRf2bp7uy0RL0,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rte de Veyrier 32, 1227 Carouge, Switzerland",Rte de Veyrier 32,1227,Carouge,Vaud,Switzerland,46.18465190000001,6.1469042,4.4,164,Denner Express,ChIJA3B1-tB7jEcR8MPpoMPKvyU,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
