Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close
"Hohlstrasse 473, 8048 Zürich, Switzerland",Hohlstrasse 473,8048,Zürich,Switzerland,47.38831870000001,8.4967741,4.2,795,ALDI SUISSE,ChIJk8Q16soLkEcR0EmqCVwiJzo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Stadelhoferstrasse 10, 8001 Zürich, Switzerland",Stadelhoferstrasse 10,8001,Zürich,Switzerland,47.366789,8.5480012,3.9,151,ALDI SUISSE,ChIJBYn0pI6hmkcRSTohGC3CLI0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,0600,2200,0600,2200,0600,2200,0600,2200,0600,2200,0600,2200,0700,2200
"Wagistrasse 20, 8952 Schlieren, Switzerland",Wagistrasse 20,8952,Schlieren,Switzerland,47.3984406,8.459741800000002,4.1,307,ALDI SUISSE,ChIJd3yCx44LkEcRJUSpwV7AdxY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1800,,
"Sihlstrasse 3, 8001 Zürich, Switzerland",Sihlstrasse 3,8001,Zürich,Switzerland,47.37372690000001,8.537652500000002,4.4,268,ALDI SUISSE,ChIJARezx08LkEcRs5-eJWmmc6E,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,,
"Goldschlägipl. 3, 8952 Schlieren, Switzerland",Goldschlägipl. 3,8952,Schlieren,Switzerland,47.4001171,8.441642400000001,4.2,358,ALDI SUISSE,ChIJr2dX33EMkEcRfmUG6OCMWzI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Badenerstrasse 565, 8048 Zürich, Switzerland",Badenerstrasse 565,8048,Zürich,Switzerland,47.3837812,8.4975848,4.2,711,ALDI SUISSE,ChIJh6tFTzMKkEcRWDuWP-eNKCk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Industriestrasse 31, 8305 Dietlikon, Switzerland",Industriestrasse 31,8305,Dietlikon,Switzerland,47.4122774,8.619218199999999,4.1,429,ALDI,ChIJD8TXkrqhmkcRBlobz2Vpk3s,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Ueberlandstrasse 441, 8051 Zürich, Switzerland",Ueberlandstrasse 441,8051,Zürich,Switzerland,47.4058514,8.5921951,4.2,495,ALDI SUISSE,ChIJUQ1xGVegmkcRtgKawr27tqk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Balz-Zimmermannstrasse 7, 8152 Opfikon, Switzerland",Balz-Zimmermannstrasse 7,8152,Opfikon,Switzerland,47.4389559,8.570195,4.6,91,ALDI SUISSE,ChIJk1xUv26hmkcRqvGfhCSDDwo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Witikonerstr. 279, 8053 Zürich, Switzerland",Witikonerstr. 279,8053,Zürich,Switzerland,47.35863060000001,8.5854632,4.3,198,ALDI SUISSE,ChIJxXEJCJmnmkcR0vOQ6iIwg8g,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Im Schossacher 24, 8600 Dübendorf, Switzerland",Im Schossacher 24,8600,Dübendorf,Switzerland,47.3928061,8.642375000000001,4.2,546,ALDI SUISSE,ChIJKcxEMnyhmkcRlEcrIOo0NEU,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Industriestrasse 4, 8424 Embrach, Switzerland",Industriestrasse 4,8424,Embrach,Switzerland,47.51649980000001,8.5943263,4.2,666,ALDI SUISSE,ChIJJYCjOwaemkcRJP39a21itG0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Feldstrasse 32, 8105 Regensdorf, Switzerland",Feldstrasse 32,8105,Regensdorf,Switzerland,47.4383568,8.4730396,4.1,571,ALDI Regensdorf,ChIJ1xZGUloLkEcRs5h_KL6YQvk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Ruchwiesenstrasse 5, 8157 Dielsdorf, Switzerland",Ruchwiesenstrasse 5,8157,Dielsdorf,Switzerland,47.4819575,8.466339799999998,4.3,425,ALDI SUISSE,ChIJVyBmvXpzkEcRZe7g3WgUn5A,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Dornacherstrasse 26/28, 4500 Solothurn, Switzerland",Dornacherstrasse 26/28,4500,Solothurn,Switzerland,47.20399279999999,7.540738699999998,3.9,512,ALDI SUISSE,ChIJv4q0N_zXkUcR4C5iZzZ_dWA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1830,0800,1830,0800,1830,0800,2000,0800,1830,0800,1800,,
