Unnamed: 0,Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Canton
137,"Rue Saint-Laurent 24/30, 1003 Lausanne, Switzerland",Rue Saint-Laurent 24/30,1003,Lausanne,Switzerland,46.52274209999999,6.630388799999999,4.1,2769,Coop City Lausanne Au Centre,ChIJm5uuAi4ujEcRdh4SZ1ZxLzA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1800.0,,,Vaud
138,"Place de la Sallaz 3, 1010 Lausanne, Switzerland",Place de la Sallaz 3,1010,Lausanne,Switzerland,46.5327115,6.6465473,4.2,515,Coop Supermarché La Sallaz,ChIJpWXD5EAujEcRShheiGG-cNQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
139,"Av. de Cour 105, 1007 Lausanne, Switzerland",Av. de Cour 105,1007,Lausanne,Switzerland,46.5159613,6.6136314,3.9,174,Coop Supermarché Lausanne Cour,ChIJn81ACSswjEcRl0hu3l1tpbg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
140,"Fronwagpl. 1, 8201 Schaffhausen, Switzerland",Fronwagpl. 1,8201,Schaffhausen,Switzerland,47.69634749999999,8.633765,4.2,322,Coop Supermarkt Schaffhausen Fronwagplatz,ChIJrx7HUGd_kEcR3u5vLjoYip4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,1800.0,,,Schaffhausen
141,"Rietstrasse 169, 8200 Schaffhausen, Switzerland",Rietstrasse 169,8200,Schaffhausen,Switzerland,47.7039121,8.615565499999997,4.2,170,Coop Supermarkt Schaffhausen Riet,ChIJX7NrDhN_kEcRi2PvJFX4YKQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Schaffhausen
142,"In Gruben 1, 8200 Schaffhausen, Switzerland",In Gruben 1,8200,Schaffhausen,Switzerland,47.70274120000001,8.6459231,4.3,327,Coop Supermarkt Schaffhausen Gruben,ChIJEQrnUtiBmkcRE9aikbPizYc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Schaffhausen
143,"Bahnhofstrasse 29, 8200 Schaffhausen, Switzerland",Bahnhofstrasse 29,8200,Schaffhausen,Switzerland,47.69814150000001,8.632685999999998,4.3,150,Coop Pronto Shop Schaffhausen Bahnhof,ChIJdefwGmd_kEcR_I1n2Ga_Zc4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,530.0,2300.0,530.0,2300.0,530.0,2300.0,530.0,2300.0,530.0,2300.0,530.0,2300.0,530.0,2300.0,Schaffhausen
144,"Vordergasse 69, 8200 Schaffhausen, Switzerland",Vordergasse 69,8200,Schaffhausen,Switzerland,47.6962488,8.634637,4.2,324,Coop City Schaffhausen,ChIJl5gKrGB_kEcRAPHfwFty-Mk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,800.0,1800.0,,,Schaffhausen
145,"Stüdliackerstrasse 10, 8207 Schaffhausen, Switzerland",Stüdliackerstrasse 10,8207,Schaffhausen,Switzerland,47.72155069999999,8.6660856,4.3,400,Coop Supermarkt Schaffhausen Herblingen,ChIJYdcP2zCAmkcRO4OSLcCCcWM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,830.0,2000.0,830.0,2000.0,830.0,2000.0,830.0,2000.0,830.0,2000.0,800.0,1900.0,,,Schaffhausen
146,"Milchbuckstrasse 1/5, 8057 Zürich, Switzerland",Milchbuckstrasse 1/5,8057,Zürich,Switzerland,47.39567,8.5404066,3.8,441,Coop Supermarkt Zürich Milchbuck,ChIJXU7khXAKkEcRyiofAm8qceM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2100.0,730.0,2100.0,730.0,2100.0,730.0,2100.0,730.0,2100.0,730.0,2100.0,,,Zürich
147,"Scheffelstrasse 12, 8037 Zürich, Switzerland",Scheffelstrasse 12,8037,Zürich,Switzerland,47.3938049,8.529575200000002,3.9,337,Coop Supermarkt Zürich Scheffelstrasse,ChIJWcZrL2kKkEcRdFqDH3JcdDE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,,,Zürich
148,"Bahnhofbrücke 1, 8001 Zürich, Switzerland",Bahnhofbrücke 1,8001,Zürich,Switzerland,47.3764584,8.5423575,4.3,3548,Coop Supermarkt Zürich Bahnhofbrücke,ChIJBUuIDAgKkEcR6dqDd_VHtbA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,,,Zürich
149,"Universitätstrasse 101, 8006 Zürich, Switzerland",Universitätstrasse 101,8006,Zürich,Switzerland,47.3839569,8.5480604,3.7,120,Coop Supermarkt Zürich Rigiplatz,ChIJ6UrCT6CgmkcRc66BhyTAc04,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,730.0,2100.0,,,Zürich
150,"Halle, Löwenstrasse, 8001 Zürich, Switzerland",Halle,8001,Zürich,Switzerland,47.3778272,8.540286999999998,4.0,1099,Coop,ChIJuQHq4AgKkEcRY14U5w5bJfQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,800.0,2200.0,Zürich
