Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton,Longitude,Latitude
MM-Migros,24480,Füllinsdorf - Schönthal,"Ergolzstrasse 2, 4414 Füllinsdorf",,4414,Füllinsdorf,Basel-Landschaft,7.725253899999999,47.5027803
M-Migros,83980,Gare Fribourg,"Rue Louis-d'Affry 2, 1701 Fribourg",,1701,Fribourg,Fribourg,7.1501989,46.8036885
M-Migros,83871,Gare de Bulle,"Place de la Gare, 1630 Bulle",,1630,Bulle,Fribourg,7.0540501,46.619673
M-Migros,44340,Gd Saconnex - Le Pommier,"Rue Sonnex 20, 1218 Le Grand-Saconnex",,1218,Le,Genève,6.1198016,46.2289525
M-Migros,33393,Gebenstorf,"Wambisterstrasse, 5412 Gebenstorf",,5412,Gebenstorf,Aargau,8.2448256,47.4899937
MM-Migros,24460,Gelterkinden,"Badweg 2, 4460 Gelterkinden",,4460,Gelterkinden,Basel-Landschaft,7.8506119,47.4659608
MMM-Migros,44030,Genève - Balexert,"Avenue Louis-Casaï 27, 1211 Genève 28",,1211,Genève,Genève,6.115013299999999,46.2179335
MM-Migros,44110,Genève - Champel,"Avenue de Champel 61, 1206 Genève",Geschlossen,1206,Genève,Genève,6.1525,46.1908333
MM-Migros,44140,Genève - Charmilles,"Promenade de l'Europe 11, 1203 Genève",,1203,Genève,Genève,6.1244964,46.2083403
M-Migros,44060,Genève - Cointrin Aéroport,"Route de l'Aéroport 25, 1215 Genève 15 Aéroport",,1215,Genève,Genève,6.1154265,46.2356529
M-Migros,44180,Genève - Cornavin Gare,"Place de Cornavin 3-7, 1201 Genève",,1201,Genève,Genève,6.143300600000001,46.21078199999999
MM-Migros,44250,Genève - Eaux-Vives,"Rue des Eaux-Vives 17-19, 1207 Genève",,1207,Genève,Genève,6.157697199999999,46.2038354
M-Migros,44290,Genève - Fusterie M-Express,"Place de la Fusterie 7, 1204 Genève",,1204,Genève,Genève,6.146198999999999,46.203928
MM-Migros,44350,Genève - Jonction,"Boulevard Carl-Vogt 6, 1205 Genève",,1205,Genève,Genève,6.130622,46.20078900000001
MM-Migros,44450,Genève - Les Cygnes,"Rue de Lausanne 18-20, 1201 Genève",,1201,Genève,Genève,6.144636999999999,46.2112558
MM-Migros,44430,Genève - Navigation,"Rue des Paquis 41, 1201 Genève",,1201,Genève,Genève,6.149683,46.2123628
MM-Migros,44230,Genève - Plainpalais,"Rue de Carouge 64, 1205 Genève",,1205,Genève,Genève,6.1428031,46.1928795
MM-Migros,44730,Genève - Rieu,"Route de Florissant 86, 1206 Genève",,1206,Genève,Genève,6.164036500000001,46.1919901
M-Migros,44840,Genève - Tourelle,"Chemin de la Tourelle 2-4, 1209 Genève",,1209,Genève,Genève,6.1262228,46.2245134
M-Migros,44890,Genève - Vidollet,"Rue du Vidollet 5, 1202 Genève",,1202,Genève,Genève,6.1395987,46.2163274
MM-Migros,44900,Genève - Villereuse,"Rue de la Terrassière 29, 1207 Genève",,1207,Genève,Genève,6.1589277,46.2007406
M-Migros,33643,Gerlafingen,"Friedhofstrasse 1, 4563 Gerlafingen",,4563,Gerlafingen,Solothurn,7.574156200000001,47.1709012
M-Migros,123740,Giubiasco - Alle Bolle,"Via Bellinzona 33, 6512 Giubiasco",,6512,Giubiasco,Ticino,9.0138786,46.1784152
M-Migros,44300,Gland,"Rue de Mauverney 22, 1196 Gland",,1196,Gland,Vaud,6.2760339,46.4171065
MM-Migros,150064,Glarus - Zentrum Glärnisch,"Schweizerhofstrasse 6, 8750 Glarus",,8750,Glarus,Zürich,9.0709422,47.0405467
M-Migros,150056,Glattbrugg,"Wallisellerstrasse 8, 8152 Glattbrugg",,8152,Glattbrugg,Zürich,8.5677252,47.43425310000001
MMM-Migros,136401,Glis - Simplon,"Kantonsstrasse 58, 3902 Glis",,3902,Glis,Valais,7.9693461,46.3089003
M-Migros,90375,Goldach,"Ulrich-Rösch-Strasse 5, 9403 Goldach",,9403,Goldach,Zürich,9.467775399999999,47.4747401
M-Migros,73790,Goldau,"Parkstrasse 25, 6410 Goldau",,6410,Goldau,Schwyz,8.551331099999999,47.0509981
MM-Migros,90433,Gossau,"St. Gallerstrasse 115, 9200 Gossau SG",,9200,Gossau,Zürich,9.2564672,47.417829
M-Migros,90313,Gossau - Stadtbühlpark,"Stadtbühlstrasse 12, 9200 Gossau SG",,9200,Gossau,Zürich,9.2503601,47.4122665
M-Migros,150182,Gossau ZH,"Im Zentrum 3, 8625 Gossau ZH",,8625,Gossau,Zürich,8.757840999999999,47.3068724
Migros-Partner,90736,Grabs,"Staatsstrasse 89, 9472 Grabs",,9472,Grabs,Zürich,9.4474441,47.1803303
M-Migros,44360,Gradelle,"Chemin de la Gradelle 10, 1224 Chêne-Bougeries",,1224,Chêne,Genève,6.1819466,46.2053517
M-Migros,123790,Grancia,"Via Cantonale 28, 6916 Grancia",,6916,Grancia,Ticino,8.9262944,45.9706231
MM-Migros,44550,Grand-Lancy - Palettes,"Av. des Communes-Réunies 52, 1212 Grand-Lancy",,1212,Grand,Genève,6.122196600000001,46.1750984
M-Migros,83760,Grande Béroche,"Rue de Combamare 21, 2025 Chez-Le-Bart",,2025,Chez,Neuchâtel,6.7840937,46.8997167
M-Migros,83860,Granges - Paccot,"Route d'Englisberg 15b, 1763 Granges-Paccot",,1763,Granges,Fribourg,7.1469666,46.8288762
M-Migros,150156,Greifensee,"Meierwis, 8606 Greifensee",,8606,Greifensee,Zürich,8.680069099999999,47.3677705
MM-Migros,34803,Grenchen,"Freiestrasse 10, 2540 Grenchen",,2540,Grenchen,Solothurn,7.3988133,47.189823
MMM-Migros,84270,Gruyère-Centre,"Rue Château d'En-Bas 2, 1630 Bulle",,1630,Bulle,Fribourg,7.0571047,46.6237682
M-Migros,33953,Gränichen,"Lindenplatz 2, 5722 Gränichen",,5722,Gränichen,Aargau,8.0978877,47.360079
MM-Migros,34490,Gstaad,"Untergstaadstrasse 3, 3780 Gstaad",,3780,Gstaad,Bern,7.282444399999999,46.4782127
M-Migros,33091,Gümligen,"Turbenweg 1, 3073 Gümligen",,3073,Gümligen,Bern,7.504227599999999,46.9332437
M-Migros,33360,Hasle Rüegsau,"Emmenau 3, 3415 Hasle-Rüegsau",,3415,Hasle,Bern,7.659646,47.0133606
